12345678901234567890123456789012345678901234567890123456789012345678901234567890


50=0814 51=2018-07-21 2=A01 3=1.4000 62=A01R 21=0.0000 
5=A01R 4=20 6=1.0800 7=4.5517 8=90.721 9=3.7020 
5=1 4=50 6=1.0800 7=4.5517 8=90.721 9=3.7676 
5=2 4=50 6=1.0800 7=27.4925 8=90.722 9=1.9480 
5=3 4=50 6=1.0800 7=47.5933 8=90.725 9=2.1028 
5=4 4=50 6=1.0800 7=89.4944 8=90.722 9=1.4032 
5=5 4=50 6=1.0800 7=205.4955 8=90.643 9=2.6034 
50=0814 51=2018-07-21 2=A02 3=1.4000 62=A01 21=0.0000 
5=A01 4=2 6=1.0800 7=6.3714 8=90.641 9=2.6020 
5=6 4=50 6=1.0800 7=6.3714 8=90.641 9=2.2356 
5=7 4=50 6=1.0800 7=47.859 8=90.643 9=0.9656 
5=8 4=50 6=1.0800 7=90.3138 8=90.843 9=1.1700 
5=9 4=50 6=1.0800 7=120.041 8=90.929 9=3.4822 
5=10 4=50 6=1.0800 7=140.4212 8=90.930 9=3.6620 
50=0814 51=2018-07-21 2=A03 3=1.4000 62=A02 21=0.0000 
5=A02 4=2 6=1.0800 7=6.1555 8=90.928 9=3.6506 
5=11 4=50 6=1.0800 7=6.1555 8=90.928 9=3.6750 
5=12 4=50 6=1.0800 7=20.3559 8=90.98 9=3.9140 
5=13 4=50 6=1.0800 7=51.4234 8=90.757 9=1.9464 
5=14 4=50 6=1.0800 7=107.855 8=90.520 9=1.8430 
5=15 4=50 6=1.0800 7=133.5651 8=90.426 9=2.4506 
