For M5|Adr     1|TO  TestError2.dat                |                      |                      |                      | 
For M5|Adr     2|TO  Start-Line       BFFB   A14|                      |                      |                      | 
For M5|Adr     3|KD1    A9229                A14|                      |                      |Z         0.00000 m   | 
For M5|Adr     4|KD1    A9229      18.0 C  3 A14|Rb        1.79490 m   |HD         10.347 m   |                      | 
For M5|Adr     5|KD1        1      18.0 C  3 A14|Rf        2.13154 m   |HD          9.015 m   |                      | 
For M5|Adr     6|KD1        1      18.0 C  3 A14|Rf        2.13147 m   |HD          9.016 m   |                      | 
For M5|Adr     7|KD1    A9229##### 18.0 C  3 A14|Rb        1.79474 m   |HD         10.353 m   |                      | 
For M5|Adr     8|KD1        1##### 18.0 C    A14|                      |                      |Z        -0.33669 m   | 
For M5|Adr     9|TO  Measurement repeated    A14|                      |                      |                      | 
For M5|Adr    10|KD1    A9229      18.0 C  3 A14|Rb        1.79480 m   |HD         10.349 m   |                      | 
For M5|Adr    11|KD1        1      18.0 C    A14|                      |                      |Z        -0.33666 m   | 
For M5|Adr    12|KD1        1      18.0 C  3 A14|Rb        0.36486 m   |HD         12.891 m   |                      | 
For M5|Adr    13|KD1        2##### 17.0 C  3 A14|Rf        2.33198 m   |HD         12.301 m   |                      | 
For M5|Adr    14|TO  Measurement repeated    A14|                      |                      |                      | 
For M5|Adr    15|KD1        2      18.0 C  3 A14|Rf        2.33191 m   |HD         12.305 m   |                      | 
For M5|Adr    16|KD1        2      17.0 C  3 A14|Rf        2.33185 m   |HD         12.313 m   |                      | 
For M5|Adr    17|KD1        1      17.0 C  3 A14|Rb        0.36487 m   |HD         12.893 m   |                      | 
For M5|Adr    18|KD1        2      17.0 C    A14|                      |                      |Z        -2.30367 m   | 
For M5|Adr    19|KD1        2      17.0 C  3 A14|Rb        0.50285 m   |HD         12.907 m   |                      | 
For M5|Adr    20|KD1        3##### 17.0 C  3 A14|Rf        2.61010 m   |HD         12.479 m   |                      | 
For M5|Adr    21|TO  Measurement repeated    A14|                      |                      |                      | 
For M5|Adr    22|KD1        3##### 17.0 C  3 A14|Rf        2.61003 m   |HD         12.483 m   |                      | 
For M5|Adr    23|TO  Measurement repeated    A14|                      |                      |                      | 
For M5|Adr    24|KD1        3##### 17.0 C  3 A14|Rf        2.61032 m   |HD         12.474 m   |                      | 
For M5|Adr    25|TO  Measurement repeated    A14|                      |                      |                      | 
For M5|Adr    26|KD1        3      17.0 C  3 A14|Rf        2.61043 m   |HD         12.489 m   |                      | 
For M5|Adr    27|KD1        3      17.0 C  3 A14|Rf        2.61023 m   |HD         12.473 m   |                      | 
For M5|Adr    28|KD1        2      17.0 C  3 A14|Rb        0.50279 m   |HD         12.913 m   |                      | 
For M5|Adr    29|KD1        3      17.0 C    A14|                      |                      |Z        -4.41118 m   | 
For M5|Adr    30|KD1        3##### 17.0 C  3 A14|Rb        0.11688 m   |HD         12.806 m   |                      | 
For M5|Adr    31|KD1        4##### 17.0 C  3 A14|Rf        2.78302 m   |HD         13.857 m   |                      | 
For M5|Adr    32|KD1        4##### 18.0 C  3 A14|Rf        2.78304 m   |HD         13.857 m   |                      | 
For M5|Adr    33|KD1        3##### 18.0 C  3 A14|Rb        0.11634 m   |HD         12.871 m   |                      | 
For M5|Adr    34|KD1        4##### 18.0 C    A14|                      |                      |Z        -7.07760 m   | 
For M5|Adr    35|TO  Station repeated        A14|                      |                      |                      | 
