For M5|Adr     1|TO  1061218m.dat                |                      |                      |                      For M5|Adr    13|KD1        B      20.0 C  3    |R         0.82754 m   |HD         52.898 m   |                      | 
For M5|Adr    14|TO  Start-Line       BFFB   B01|                      |                      |                      | 
For M5|Adr    15|KD1    A9219                B01|                      |                      |Z         0.00000 m   | 
For M5|Adr    16|KD1    A9219      21.0 C  3 B01|Rb        1.59898 m   |HD         27.798 m   |                      | 
For M5|Adr    17|KD1        1      21.0 C  3 B01|Rf        0.78664 m   |HD         26.642 m   |                      | 
For M5|Adr    18|KD1        1      21.0 C  3 B01|Rf        0.78652 m   |HD         26.641 m   |                      | 
For M5|Adr    19|KD1    A9219      22.0 C  3 B01|Rb        1.59885 m   |HD         27.793 m   |                      | 
For M5|Adr    20|KD1        1      22.0 C    B01|                      |                      |Z         0.81234 m   | 
For M5|Adr    21|KD1        1      22.0 C  3 B01|Rb        1.76441 m   |HD         27.111 m   |                      | 
For M5|Adr    22|KD1        2      22.0 C  3 B01|Rf        0.93805 m   |HD         26.448 m   |                      | 
For M5|Adr    23|KD1        2      22.0 C  3 B01|Rf        0.93789 m   |HD         26.448 m   |                      | 
For M5|Adr    24|KD1        1      22.0 C  3 B01|Rb        1.76444 m   |HD         27.112 m   |                      | 
For M5|Adr    25|KD1        2      22.0 C    B01|                      |                      |Z         1.63879 m   | 
For M5|Adr    26|KD1        2##### 22.0 C  3 B01|Rb        1.94628 m   |HD         32.164 m   |                      | 
For M5|Adr    27|TO  Measurement repeated    B01|                      |                      |                      | 
For M5|Adr    28|KD1        2      22.0 C  3 B01|Rb        1.94609 m   |HD         32.158 m   |                      | 
For M5|Adr    29|KD1        3      22.0 C  3 B01|Rf        1.04543 m   |HD         31.612 m   |                      | 
For M5|Adr    30|KD1        3      22.0 C  3 B01|Rf        1.04506 m   |HD         31.606 m   |                      | 
For M5|Adr    31|KD1        2      22.0 C  3 B01|Rb        1.94601 m   |HD         32.156 m   |                      | 
For M5|Adr    32|KD1        3      22.0 C    B01|                      |                      |Z         2.53960 m   | 
For M5|Adr    33|KD1        3      22.0 C  3 B01|Rb        1.72239 m   |HD         29.840 m   |                      | 
For M5|Adr    34|KD1        4##### 22.0 C  3 B01|Rf        1.25441 m   |HD         27.852 m   |                      | 
For M5|Adr    35|TO  Measurement repeated    B01|                      |                      |                      | 
For M5|Adr    36|KD1        4      22.0 C  3 B01|Rf        1.25721 m   |HD         30.407 m   |                      | 
For M5|Adr    37|KD1        4      22.0 C  3 B01|Rf        1.25720 m   |HD         30.410 m   |                      | 
For M5|Adr    38|KD1        3      22.0 C  3 B01|Rb        1.72243 m   |HD         29.833 m   |                      | 
For M5|Adr    39|KD1        4      22.0 C    B01|                      |                      |Z         3.00480 m   | 
For M5|Adr    40|KD1        4##### 22.0 C  3 B01|Rb        1.48225 m   |HD         31.929 m   |                      | 
For M5|Adr    41|KD1        5##### 22.0 C  3 B01|Rf        1.36373 m   |HD         32.583 m   |                      | 
For M5|Adr    42|TO  Measurement repeated    B01|                      |                      |                      | 
For M5|Adr    43|KD1        5##### 22.0 C  3 B01|Rf        1.36384 m   |HD         32.581 m   |                      | 
For M5|Adr    44|KD1        5##### 23.0 C  3 B01|Rf        1.36380 m   |HD         32.585 m   |                      | 
For M5|Adr    45|KD1        4##### 22.0 C  3 B01|Rb        1.48155 m   |HD         31.926 m   |                      | 
For M5|Adr    46|KD1        5##### 22.0 C    B01|                      |                      |Z         3.12288 m   | 
For M5|Adr    47|TO  Station repeated        B01|                      |                      |                      | 
For M5|Adr    48|KD1        4      22.0 C  3 B01|Rb        1.48182 m   |HD         31.930 m   |                      | 
For M5|Adr    49|KD1        5      22.0 C  3 B01|Rf        1.36341 m   |HD         32.585 m   |                      | 
For M5|Adr    50|KD1        5      23.0 C  3 B01|Rf        1.36373 m   |HD         32.601 m   |                      | 
For M5|Adr    51|KD1        4      22.0 C  3 B01|Rb        1.48190 m   |HD         31.919 m   |                      | 
For M5|Adr    52|KD1        5      22.0 C    B01|                      |                      |Z         3.12309 m   | 
For M5|Adr    53|KD1        5##### 23.0 C  3 B01|Rb        1.36166 m   |HD         28.636 m   |                      | 
For M5|Adr    54|TO  Measurement repeated    B01|                      |                      |                      | 
For M5|Adr    55|KD1        5##### 22.0 C  3 B01|Rb        1.36281 m   |HD         28.625 m   |                      | 
For M5|Adr    56|KD1        6##### 22.0 C  3 B01|Rf        1.53289 m   |HD         28.285 m   |                      | 
For M5|Adr    57|KD1        6##### 22.0 C  3 B01|Rf        1.53283 m   |HD         28.258 m   |                      | 
For M5|Adr    58|KD1        5##### 22.0 C  3 B01|Rb        1.36226 m   |HD         28.647 m   |                      | 
For M5|Adr    59|KD1        6##### 22.0 C    B01|                      |                      |Z         2.95277 m   | 
For M5|Adr    60|TO  Station repeated        B01|                      |                      |                      | 
For M5|Adr    61|KD1        5##### 22.0 C  3 B01|Rb        1.36208 m   |HD         28.635 m   |                      | 
For M5|Adr    62|KD1        6##### 22.0 C  3 B01|Rf        1.53340 m   |HD         28.261 m   |                      | 
For M5|Adr    63|KD1        6##### 22.0 C  3 B01|Rf        1.53192 m   |HD         28.263 m   |                      | 
For M5|Adr    64|TO  Measurement repeated    B01|                      |                      |                      | 
For M5|Adr    65|KD1        6##### 22.0 C  3 B01|Rf        1.53263 m   |HD         28.262 m   |                      | 
For M5|Adr    66|KD1        5##### 22.0 C  3 B01|Rb        1.36254 m   |HD         28.646 m   |                      | 
For M5|Adr    67|KD1        6##### 22.0 C    B01|                      |                      |Z         2.95239 m   | 
For M5|Adr    68|TO  Station repeated        B01|                      |                      |                      | 
For M5|Adr    69|KD1        5##### 22.0 C  3 B01|Rb        1.36180 m   |HD         28.649 m   |                      | 
For M5|Adr    70|KD1        6##### 22.0 C  3 B01|Rf        1.53305 m   |HD         28.255 m   |                      | 
For M5|Adr    71|KD1        6##### 22.0 C  3 B01|Rf        1.53272 m   |HD         28.265 m   |                      | 
For M5|Adr    72|KD1        5##### 22.0 C  3 B01|Rb        1.36281 m   |HD         28.639 m   |                      | 
For M5|Adr    73|KD1        6##### 22.0 C    B01|                      |                      |Z         2.95251 m   | 
For M5|Adr    74|TO  Station repeated        B01|                      |                      |                      | 
For M5|Adr    75|KD1        5      22.0 C  3 B01|Rb        1.36240 m   |HD         28.612 m   |                      | 
For M5|Adr    76|KD1        6      22.0 C  3 B01|Rf        1.53235 m   |HD         28.274 m   |                      | 
For M5|Adr    77|KD1        6      22.0 C  3 B01|Rf        1.53281 m   |HD         28.265 m   |                      | 
For M5|Adr    78|KD1        5      22.0 C  3 B01|Rb        1.36249 m   |HD         28.631 m   |                      | 
For M5|Adr    79|KD1        6      22.0 C    B01|                      |                      |Z         2.95296 m   | 
For M5|Adr    80|KD1        6##### 22.0 C  3 B01|Rb        1.08484 m   |HD         23.239 m   |                      | 
For M5|Adr    81|TO  Measurement repeated    B01|                      |                      |                      | 
For M5|Adr    82|KD1        6##### 22.0 C  3 B01|Rb        1.08485 m   |HD         23.286 m   |                      | 
