      1 1070205.DAT                                                          
     35 Start-Line       BFFB     2                                           
     36     3192    1             2                                Z  73.94158
     37     3192    1 09:09:013   2 Rb     2.13779 HD       19.272 sR  0.00005
     38    PN302    1 09:09:383   2 Rf     1.16070 HD       45.418 sR  0.00001
     39    PN302    1 09:10:173   2 Rf     1.22293 HD       43.992 sR  0.00001
     40     3192    1 09:10:323   2 Rb     2.19988 HD       20.299 sR  0.00002
     41    PN302    1 09:11:573   2 Rb     1.08476 HD       50.618 sR  0.00006
     42        2    1 09:12:163   2 Rf     2.51279 HD       56.145 sR  0.00002
     45        2    1 09:13:043   2 Rf     2.50964 HD       55.430 sR  0.00006
     46    PN302    1 09:13:333   2 Rb     1.08145 HD       51.762 sR  0.00006                                    
     52        2    1 09:18:433   2 Rb     1.11096 HD       65.969 sR  0.00038
     55    PN300    1 09:19:293   2 Rf     1.70762 HD       75.551 sR  0.00004
     56    PN300    1 09:19:543   2 Rf     1.80671 HD       75.225 sR  0.00001
     57        2    1 09:20:123   2 Rb     1.21041 HD       66.364 sR  0.00005
     58    PN300    1 09:24:593   2 Rb     2.44025 HD       93.636 sR  0.00005
     59      Q50    1 09:25:363   2 Rf     0.17613 HD      118.213 sR  0.00019
     60      Q50    1 09:26:393   2 Rf     0.24759 HD      117.063 sR  0.00005
     61    PN300    1 09:26:563   2 Rb     2.51216 HD       94.222 sR  0.00017
     62      Q50    1 09:37:083   2 Rb     0.22759 HD       83.617 sR  0.00014
     63        3    1 09:40:593   2 Rf     2.71942 HD      128.363 sR  0.00028
     66        3    1 09:44:193   2 Rf     2.72322 HD      129.116 sR  0.00009
     67      Q50    1 09:44:383   2 Rb     0.23116 HD       83.251 sR  0.00013
     68        3    1 09:47:343   2 Rb     1.10974 HD       40.167 sR  0.00001
     69      Q49    1 09:48:503   2 Rf     2.02804 HD       64.999 sR  0.00010
     70      Q49    1 09:49:213   2 Rf     2.00830 HD       64.573 sR  0.00009
     71        3    1 09:49:393   2 Rb     1.08991 HD       40.641 sR  0.00004
     72      Q49    1 09:52:403   2 Rb     1.28668 HD       78.642 sR  0.00009
     73      Q48    1 09:55:123   2 Rf     1.96306 HD      120.824 sR  0.00008
     74      Q48    1 09:56:143   2 Rf     1.95405 HD      117.420 sR  0.00022
     75      Q49    1 09:56:313   2 Rb     1.27817 HD       81.651 sR  0.00016
     76      Q48    1 10:00:363   2 Rb     1.13475 HD       69.387 sR  0.00014
     77        4    1 10:02:053   2 Rf     2.66677 HD       82.547 sR  0.00052
     78        4    1 10:02:373   2 Rf     2.66380 HD       82.333 sR  0.00023
     79      Q48    1 10:02:523   2 Rb     1.13243 HD       69.782 sR  0.00017
     80        4    1 10:05:553   2 Rb     0.58656 HD       66.571 sR  0.00014
