For M5|Adr     1|TO  TestError1.dat                |                      |                      |                      | 
For M5|Adr     2|TO  Start-Line       BFFB   B06|                      |                      |                      | 
For M5|Adr     3|KD1     TU01                B06|                      |                      |Z         0.00000 m   | 
For M5|Adr     4|KD1     TU01      21.0 C  3 B06|Rb        0.48796 m   |HD         34.535 m   |                      | 
For M5|Adr     5|KD1        1      21.0 C  3 B06|Rf        1.22945 m   |HD         33.393 m   |                      | 
For M5|Adr     6|KD1        1      21.0 C  3 B06|Rf        1.22943 m   |HD         33.390 m   |                      | 
For M5|Adr     7|KD1     TU01      21.0 C  3 B06|Rb        0.48796 m   |HD         34.538 m   |                      | 
For M5|Adr     8|KD1        1      21.0 C    B06|                      |                      |Z        -0.74148 m   | 
For M5|Adr     9|KD1        1      21.0 C  3 B06|Rb        1.23516 m   |HD         28.379 m   |                      | 
For M5|Adr    10|KD1        2      21.0 C  3 B06|Rf        1.15636 m   |HD         27.051 m   |                      | 
For M5|Adr    11|KD1        2      21.0 C  3 B06|Rf        1.15635 m   |HD         27.071 m   |                      | 
For M5|Adr    12|KD1        1      21.0 C  3 B06|Rb        1.23512 m   |HD         28.386 m   |                      | 
For M5|Adr    13|KD1        2      21.0 C    B06|                      |                      |Z        -0.66270 m   | 
For M5|Adr    14|KD1        2      21.0 C  3 B06|Rb        1.93976 m   |HD         33.419 m   |                      | 
For M5|Adr    15|KD1        3##### 21.0 C  3 B06|Rf        0.86784 m   |HD         34.964 m   |                      | 
For M5|Adr    16|TO  Measurement repeated    B06|                      |                      |                      | 
For M5|Adr    17|KD1        3      21.0 C  3 B06|Rf        0.86803 m   |HD         34.962 m   |                      | 
For M5|Adr    18|KD1        3      21.0 C  3 B06|Rf        0.86820 m   |HD         34.960 m   |                      | 
For M5|Adr    19|KD1        2      21.0 C  3 B06|Rb        1.93978 m   |HD         33.424 m   |                      | 
For M5|Adr    20|KD1        3      21.0 C    B06|                      |                      |Z         0.40896 m   | 
For M5|Adr    21|KD1        3      21.0 C  3 B06|Rb        1.43184 m   |HD         36.509 m   |                      | 
For M5|Adr    22|KD1        4      21.0 C  3 B06|Rf        11.04915 m   |HD         36.718 m   |                      | 
For M5|Adr    23|KD1        4      21.0 C  3 B06|Rf        1.04925 m   |HD         36.734 m   |                      | 
For M5|Adr    24|KD1        3      21.0 C  3 B06|Rb        1.43212 m   |HD         36.508 m   |                      | 
For M5|Adr    25|KD1        4      21.0 C    B06|                      |                      |Z         0.79174 m   | 
For M5|Adr    26|KD1        4##### 21.0 C  3 B06|Rb        1.46278 m   |HD         17.227 m   |                      | 
For M5|Adr    27|TO  Measurement repeated    B06|                      |                      |                      | 
For M5|Adr    28|KD1        4      21.0 C  3 B06|Rb        1.55296 m   |HD         26.510 m   |                      | 
For M5|Adr    29|KD1        5      21.0 C  3 B06|Rf        1.15166 m   |HD         26.224 m   |                      | 
For M5|Adr    30|KD1        5      21.0 C  3 B06|Rf        1.15162 m   |HD         26.226 m   |                      | 
For M5|Adr    31|KD1        4      21.0 C  3 B06|Rb        1.55288 m   |HD         26.512 m   |                      | 
For M5|Adr    32|KD1        5      21.0 C    B06|                      |                      |Z         1.19302 m   | 
For M5|Adr    33|KD1        5      21.0 C  3 B06|Rb        1.48112 m   |HD         30.397 m   |                      | 
For M5|Adr    34|KD1     AT07      21.0 C  3 B06|Rf        1.60420 m   |HD         31.422 m   |                      | 
For M5|Adr    35|KD1     AT07      21.0 C  3 B06|Rf        1.60417 m   |HD         31.422 m   |                      | 
For M5|Adr    36|KD1        5      21.0 C  3 B06|Rb        1.48099 m   |HD         30.376 m   |                      | 
For M5|Adr    37|KD1     AT07      21.0 C    B06|                      |                      |Z         1.06989 m   | 
For M5|Adr    38|KD1     AT07##### 21.0 C  3 B06|Rb        1.60406 m   |HD         31.416 m   |                      | 
For M5|Adr    39|TO  Measurement repeated    B06|                      |                      |                      | 
For M5|Adr    40|KD1     AT07      21.0 C  3 B06|Rb        1.61386 m   |HD         32.640 m   |                      | 
For M5|Adr    41|KD1     AT08##### 21.0 C  3 B06|Rf        1.26035 m   |HD         32.636 m   |                      | 
For M5|Adr    42|TO  Measurement repeated    B06|                      |                      |                      | 
For M5|Adr    43|KD1       10      21.0 C  3 B06|Rf        1.26047 m   |HD         32.627 m   |                      | 
For M5|Adr    44|KD1       10      21.0 C  3 B06|Rf        1.26030 m   |HD         32.594 m   |                      | 
For M5|Adr    45|KD1     AT07      21.0 C  3 B06|Rb        1.61385 m   |HD         32.629 m   |                      | 
For M5|Adr    46|KD1       10      21.0 C    B06|                      |                      |Z         1.42336 m   | 
For M5|Adr    47|KD1       10      21.0 C  3 B06|Rb        1.41606 m   |HD         27.990 m   |                      | 
For M5|Adr    48|KD1       11      22.0 C  3 B06|Rf        1.81163 m   |HD         26.617 m   |                      | 
For M5|Adr    49|KD1       11      21.0 C  3 B06|Rf        1.81162 m   |HD         26.621 m   |                      | 
For M5|Adr    50|KD1       10      22.0 C  3 B06|Rb        1.41610 m   |HD         27.983 m   |                      | 
