JOB     0813.MEA
INST    station
STA     A01,1.4000,2                
XYZ     0.0000,0.0000,0.0000        
BS      A01R,1.0800               
HVD     1295999,324441,3.7020      
SC      A01R,1.0800,62
NEZ     3.7020,-0.0000,0.3121
SD      A01R,1.0800,20                
HVD     17717,324441,3.7020        
SD      1,1.0800,50                 
HVD     17717,324441,3.7676         
SD      2,1.0800,50                
HVD     100165,324442,1.9480        
SD      3,1.0800,50                 
HVD     172773,324445,2.1028       
SD      4,1.0800,50                  
HVD     323384,324442,1.4032       
SD      5,1.0800,50                    
HVD     740995,324403,2.6034        


STA     A02,1.4000,2               
XYZ     0.0000,0.0000,0.0000       
BS      A01,1.0800                 
HVD     1295998,324402,2.6020      
SC      A01,1.0800,62              
NEZ     2.6020,-0.0001,0.3149      
SD      A01,1.0800,2
HVD     23834,324401,2.6020
SD      6,1.0800,50
HVD     23834,324401,2.2356
SD      7,1.0800,50
HVD     169739,324403,0.9656
SD      8,1.0800,50
HVD     325898,324523,1.1700
SD      9,1.0800,50
HVD     432041,324569,3.4822
SD      10,1.0800,50
HVD     506532,324570,3.6620


STA     A03,1.4000,2
XYZ     0.0000,0.0000,0.0000
BS      A02,1.0800
HVD     0,324573,3.6506
SC      A02,1.0800,BSS
NEZ     3.6506,0.0000,0.3099
SD      A02,1.0800,2
HVD     22555,324568,3.6506
SD      11,1.0800,50
HVD     22555,324568,3.6750
SD      12,1.0800,50
HVD     74159,324548,3.9140
SD      13,1.0800,50
HVD     186154,324477,1.9464
SD      14,1.0800,50
HVD     385735,324320,1.8430
SD      15,1.0800,50
HVD     482211,324266,2.4506
