50=180116-1 51=2018-01-16 2=PN302 3=1.612 62=PN300 21=0.0000
5=PN300 4=2 6=1.490 7=0.0000 8=90.3106 9=238.971
5=Q68 4=2 6=1.486 7=40.0155 8=90.4131 9=172.876
50=180116-1 51=2018-01-16 2=Q68 3=1.591 62=PN302 21=0.0000
5=PN302 4=2 6=1.450 7=0.0000 8=89.2425 9=172.871
5=PN301 4=2 6=1.437 7=186.0816 8=90.5326 9=68.787
50=180116-1 51=2018-01-16 2=PN301 3=1.564 62=Q68 21=0.0000
5=Q68 4=2 6=1.441 7=359.5959 8=89.2017 9=68.783
5=Q51 4=2 6=1.060 7=213.5635 8=90.3504 9=321.463
50=180116-1 51=2018-01-16 2=Q51 3=1.571 62=PN301 21=0.0000
5=PN301 4=2 6=0.981 7=0.0001 8=89.3630 9=321.454
5=Q52 4=2 6=1.489 7=165.0542 8=90.1253 9=109.940
50=180116-1 51=2018-01-16 2=Q52 3=1.582 62=Q51 21=0.0000
5=Q51 4=2 6=1.484 7=0.0000 8=89.5327 9=109.941
5=Q53 4=2 6=1.510 7=158.5819 8=90.0837 9=185.397
50=180116-1 51=2018-01-16 2=Q53 3=1.596 62=Q52 21=0.0000
5=Q52 4=2 6=1.496 7=0.0000 8=89.5533 9=185.398
5=Q54 4=2 6=1.486 7=263.2316 8=90.4954 9=119.830
50=180116-1 51=2018-01-16 2=Q54 3=1.580 62=Q53 21=0.0000
5=Q53 4=2 6=1.505 7=0.0000 8=89.1538 9=119.824
5=Q55 4=2 6=1.500 7=173.0415 8=90.4519 9=181.899
50=180116-1 51=2018-01-16 2=Q55 3=1.600 62=Q54 21=0.0000
5=Q54 4=2 6=1.505 7=359.5959 8=89.1749 9=181.897
5=PN303 4=2 6=1.057 7=113.1439 8=90.4826 9=134.485
50=180116-1 51=2018-01-16 2=PN303 3=1.444 62=Q54 21=0.0000
5=Q54 4=2 6=1.028 7=0.0001 8=89.3733 9=134.475
5=PN304 4=2 6=1.403 7=164.1949 8=89.4413 9=230.821
